name,trend_days,momentum_days,vol_days,target_vol,top_n,sleeve_cap,cagr,vol,sharpe,max_dd,calmar,cvar1,worst_day,worst_month,end_multiple,current_allocation
"trend=100,mom=189,vol=126,target=0.12,top=2,cap=0.33",100,189,126,0.12,2,0.33,0.11068064584781112,0.06928703375153131,1.553133073707934,-0.07341445543409086,1.5076137961300637,-0.017370779299561222,-0.027437184007218427,-0.039982724954889526,2.9763115101319575,"{""DBC"": 0.2734285840562786, ""SHY"": 0.39657141594372136, ""SPY"": 0.33}"
"trend=100,mom=189,vol=21,target=0.12,top=2,cap=0.33",100,189,21,0.12,2,0.33,0.1129259338145403,0.06819851365771613,1.6065124799104942,-0.07542219174400333,1.4972507587399675,-0.0173707400342897,-0.027437184007218427,-0.039982724954889526,3.0394230141689214,"{""DBC"": 0.2647944497442933, ""SHY"": 0.4052055502557067, ""SPY"": 0.33}"
"trend=100,mom=189,vol=63,target=0.12,top=2,cap=0.33",100,189,63,0.12,2,0.33,0.10932800144383159,0.06914944023569565,1.5384225671583711,-0.0761759206076511,1.4352042032669665,-0.017486241218184168,-0.027437184007218427,-0.03998272495488919,2.9388649022492466,"{""DBC"": 0.24453896674073058, ""SHY"": 0.4254610332592694, ""SPY"": 0.33}"
"trend=100,mom=189,vol=21,target=0.10,top=2,cap=0.33",100,189,21,0.1,2,0.33,0.10859165749329591,0.06617653648753431,1.5944330055465692,-0.07729310259636935,1.4049333491032192,-0.016884838984352987,-0.027437184007218427,-0.03998272495488875,2.918659436592889,"{""DBC"": 0.22066204145357773, ""SHY"": 0.4493379585464222, ""SPY"": 0.33}"
"trend=100,mom=189,vol=63,target=0.10,top=2,cap=0.33",100,189,63,0.1,2,0.33,0.10451251555417418,0.06650542182987634,1.5313087566100383,-0.07612714418801214,1.3728679391421585,-0.01690605915926819,-0.027437184007218427,-0.03998272495488908,2.8089833753335616,"{""DBC"": 0.20378247228394217, ""SHY"": 0.46621752771605784, ""SPY"": 0.33}"
"trend=100,mom=189,vol=126,target=0.10,top=2,cap=0.33",100,189,126,0.1,2,0.33,0.10381815340667844,0.06594674535280294,1.5341559618049652,-0.07577589663927065,1.370068293627752,-0.01641838391497831,-0.027437184007218427,-0.03998272495488875,2.790689546171148,"{""DBC"": 0.2278571533802322, ""SHY"": 0.44214284661976777, ""SPY"": 0.33}"
"trend=100,mom=189,vol=63,target=0.08,top=2,cap=0.33",100,189,63,0.08,2,0.33,0.09557458690161336,0.0618083674002336,1.5110193139567212,-0.07167771688059288,1.3333932923788576,-0.01600960846402676,-0.02701285656839245,-0.03998272495488886,2.581579809902712,"{""DBC"": 0.16302597782715375, ""SHY"": 0.5591554707509364, ""SPY"": 0.2778185514219098}"
"trend=150,mom=189,vol=126,target=0.12,top=2,cap=0.33",150,189,126,0.12,2,0.33,0.11066538474401644,0.07210600790275883,1.4949913648784459,-0.08511336848117945,1.3002115498282403,-0.01777244028924089,-0.027437184007218427,-0.039191849595379025,2.975886627807327,"{""DBC"": 0.2734285840562786, ""SHY"": 0.39657141594372136, ""SPY"": 0.33}"
"trend=150,mom=189,vol=21,target=0.12,top=2,cap=0.33",150,189,21,0.12,2,0.33,0.11270268544228323,0.07103374964634428,1.5423427596704666,-0.0871171431101917,1.2936912462766277,-0.017773504719062413,-0.027437184007218427,-0.039191849595378914,3.0330941502943043,"{""DBC"": 0.2647944497442933, ""SHY"": 0.4052055502557067, ""SPY"": 0.33}"
"trend=100,mom=189,vol=21,target=0.08,top=2,cap=0.33",100,189,21,0.08,2,0.33,0.10059300366886048,0.06244248471533532,1.56967486397744,-0.07779514677213406,1.2930498603402922,-0.015980190374860818,-0.027437184007218427,-0.03998272495488908,2.707122398620005,"{""DBC"": 0.1765296331628622, ""SHY"": 0.49347036683713785, ""SPY"": 0.33}"
"trend=100,mom=189,vol=126,target=0.08,top=2,cap=0.33",100,189,126,0.08,2,0.33,0.0928130357334036,0.06051194230946644,1.5002688268917168,-0.07227167322587558,1.2842242553777428,-0.015169363434329104,-0.026613950608263846,-0.03998272495488908,2.5147632062158243,"{""DBC"": 0.18228572270418578, ""SHY"": 0.5056283899082215, ""SPY"": 0.31208588738759274}"
"trend=100,mom=189,vol=21,target=0.12,top=2,cap=0.50",100,189,21,0.12,2,0.5,0.1440345902538256,0.09293959549571751,1.4977379082654318,-0.11256541147130161,1.2795634855432212,-0.024316530535229943,-0.04126022948780911,-0.06122852321970329,4.047540727916599,"{""DBC"": 0.2647944497442933, ""SHY"": 0.23520555025570666, ""SPY"": 0.5}"
"trend=150,mom=189,vol=63,target=0.12,top=2,cap=0.33",150,189,63,0.12,2,0.33,0.10946774602430076,0.07188116894693046,1.484398518772672,-0.08769807380446082,1.2482343257433393,-0.01790009084295546,-0.027437184007218427,-0.039191849595379136,2.9427137705796578,"{""DBC"": 0.24453896674073058, ""SHY"": 0.4254610332592694, ""SPY"": 0.33}"
"trend=150,mom=189,vol=21,target=0.12,top=3,cap=0.33",150,189,21,0.12,3,0.33,0.12235963614184109,0.08208788307183665,1.4505307346997056,-0.09803719884334816,1.2480939641835065,-0.021871167526244847,-0.03922949842655177,-0.05385443104115939,3.3180207470537275,"{""DBC"": 0.1765296331628622, ""SHY"": 0.16347036683713778, ""SPY"": 0.33, ""USMV"": 0.33}"
"trend=150,mom=126,vol=21,target=0.12,top=3,cap=0.33",150,126,21,0.12,3,0.33,0.12286384759788205,0.08385990403962036,1.4270054058806423,-0.09932752987097404,1.2369566398910912,-0.022215234364601395,-0.03922949842655177,-0.05385443104115939,3.333540954854306,"{""DBC"": 0.1765296331628622, ""SHY"": 0.16347036683713778, ""SPY"": 0.33, ""USMV"": 0.33}"
"trend=100,mom=189,vol=63,target=0.12,top=2,cap=0.50",100,189,63,0.12,2,0.5,0.13610251037687204,0.09184405133945689,1.4385452690220455,-0.11256541147130028,1.2090970805145842,-0.02430862645756769,-0.04050979808273085,-0.061228523219702624,3.7652688630875195,"{""DBC"": 0.24453896674073058, ""SHY"": 0.3387332061264047, ""SPY"": 0.4167278271328647}"
"trend=100,mom=189,vol=21,target=0.06,top=2,cap=0.33",100,189,21,0.06,2,0.33,0.0865090911877624,0.055645896259047964,1.5221678305221973,-0.0716777168805931,1.206917504527616,-0.014465493463632961,-0.026613950608263846,-0.039982724954889415,2.368055284097574,"{""DBC"": 0.13239722487214664, ""SHY"": 0.5650735867633341, ""SPY"": 0.30252918836451925}"
"trend=150,mom=189,vol=21,target=0.10,top=2,cap=0.33",150,189,21,0.1,2,0.33,0.10780411530033573,0.06878797586861474,1.5261132761697982,-0.09006617482093271,1.1969434198206945,-0.017371829371584636,-0.027437184007218427,-0.0391918495953788,2.8971880974903317,"{""DBC"": 0.22066204145357773, ""SHY"": 0.4493379585464222, ""SPY"": 0.33}"
"trend=150,mom=189,vol=63,target=0.10,top=2,cap=0.33",150,189,63,0.1,2,0.33,0.10393132333808164,0.06910595380832654,1.468605841291049,-0.08764990573590259,1.1857551068136511,-0.01739880625370929,-0.027437184007218427,-0.03919184959537936,2.7936637838147407,"{""DBC"": 0.20378247228394217, ""SHY"": 0.46621752771605784, ""SPY"": 0.33}"
"trend=150,mom=126,vol=63,target=0.12,top=3,cap=0.33",150,126,63,0.12,3,0.33,0.11814210879107345,0.08394386717888046,1.375339972840915,-0.10058250165623073,1.1745791449377316,-0.022394058166049672,-0.03880517098772578,-0.05169844736505025,3.190735714153453,"{""DBC"": 0.16302597782715372, ""SHY"": 0.22915547075093645, ""SPY"": 0.2778185514219098, ""USMV"": 0.33}"
"trend=100,mom=189,vol=126,target=0.12,top=2,cap=0.50",100,189,126,0.12,2,0.5,0.13183741796082393,0.08980438546856533,1.4271546215238313,-0.11248924211041111,1.1720002329771417,-0.022977181759444396,-0.04001864393887489,-0.061228523219702846,3.6209621331393613,"{""DBC"": 0.2734285840562786, ""SHY"": 0.2584425848623323, ""SPY"": 0.4681288310813891}"
"trend=100,mom=189,vol=21,target=0.12,top=3,cap=0.33",100,189,21,0.12,3,0.33,0.10898075237251748,0.07907008994814142,1.3507808349829546,-0.09318111410906149,1.1695583747256304,-0.021746161946685907,-0.03922949842655177,-0.054633237108410726,2.9293206016212117,"{""DBC"": 0.1765296331628622, ""SHY"": 0.16347036683713778, ""SPY"": 0.33, ""USMV"": 0.33}"
